# Ghost Glove Flex Calibration — 50 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
17.061,4836,6848,3817,6307
17.061,4692,6796,3919,6383
17.080,4643,6797,3843,6393
17.110,4680,6673,3679,6296
17.140,4855,6793,3813,6304
17.197,4711,6779,3987,6350
17.229,4608,6681,3788,6315
17.257,4736,6711,3782,6231
17.317,4699,6561,3934,6319
17.318,4537,6598,3848,6332
17.348,4687,6575,3625,6279
17.378,4824,6619,3844,6310
17.407,4662,6643,3866,6387
17.498,4655,6489,3694,6310
17.499,4831,6787,3809,6293
17.527,4676,6751,4022,6348
17.557,4544,6672,3815,6300
17.587,4725,6641,3800,6224
17.625,4705,6763,3931,6316
17.648,4564,6670,3829,6345
17.677,4680,6702,3600,6283
17.737,4842,6740,3836,6318
17.767,4670,6692,3913,6395
17.798,4653,6570,3736,6327
17.829,4823,6692,3794,6256
17.857,4714,6794,4021,6343
17.887,4564,6714,3826,6313
17.918,4707,6784,3753,6218
17.978,4720,6899,3907,6315
18.007,4580,6770,3834,6385
18.037,4669,6748,3590,6288
18.067,4826,6836,3807,6309
18.103,4680,6783,3923,6396
18.127,4660,6656,3760,6308
18.157,4797,6779,3785,6261
18.187,4698,6783,4036,6329
18.250,4552,6501,3834,6318
18.277,4702,6643,3659,6242
18.307,4737,6673,3887,6315
18.337,4594,6797,3851,6381
18.367,4673,6748,3595,6304
18.428,4843,6778,3813,6311
18.429,4667,6644,3970,6390
18.488,4671,6460,3782,6319
18.518,4767,6730,3814,6243
18.548,4694,6773,4010,6338
18.577,4527,6656,3841,6311
18.622,4689,6627,3659,6256
18.637,4725,6674,3869,6313
18.667,4622,6424,3855,6392
18.697,4682,6644,3614,6296
18.787,4850,6676,3840,6318
18.788,4682,6639,4005,6384
18.817,4601,6480,3804,6313
18.847,4758,6654,3816,6253
18.877,4687,6752,4010,6330
18.907,4526,6651,3832,6334
18.937,4684,6489,3620,6264
18.997,4756,6615,3844,6333
19.028,4635,6592,3855,6402
19.057,4687,6418,3692,6318
19.088,4680,6478,3600,6288
19.117,4830,6456,3810,6311
19.147,4679,6448,3892,6410
19.208,4647,6478,3755,6308
19.237,4794,6259,3782,6251
19.297,4702,6630,4050,6347
19.298,4551,6570,3822,6328
19.327,4720,6586,3710,6245
19.357,4691,6395,3884,6316
19.387,4599,6646,3870,6376
19.429,4640,6610,3585,6300
19.477,4845,6584,3839,6319
19.537,4690,6567,4001,6380
19.538,4676,6612,3774,6335
19.567,4765,6723,3835,6248
19.598,4683,6779,4043,6347
19.629,4531,6534,3858,6339
19.657,4690,6766,3659,6239
19.717,4699,6913,3873,6310
19.749,4599,6792,3827,6384
19.778,4681,6703,3637,6313
19.809,4841,6800,3791,6318
19.837,4690,6757,4007,6393
19.867,4666,6592,3776,6329
19.897,4763,6527,3815,6255
19.928,4670,6721,4022,6331
19.987,4522,6583,3848,6325
20.027,4674,6613,3614,6271
20.048,4760,6666,3858,6308
20.078,4625,6776,3852,6386
20.107,4716,6455,3645,6319
20.138,4839,6792,3820,6312
20.198,4700,6574,4031,6387
20.199,4620,6634,3802,6337
20.258,4739,6450,3792,6251
20.288,4687,6900,3974,6330
20.348,4529,6751,3836,6324
20.349,4675,6563,3621,6269
20.379,4769,6906,3859,6311
20.410,4628,6806,3868,6407
20.438,4659,6682,3665,6317
20.497,4850,6816,3806,6318
20.534,4717,6807,4034,6363
20.557,4580,6432,3818,6329
20.587,4727,6752,3796,6252
20.627,4716,6725,3965,6335
20.647,4516,6735,3823,6330
20.677,4676,6445,3640,6293
20.737,4822,6456,3852,6348
20.767,4641,6389,3829,6428
20.797,4674,6394,3711,6326
20.828,4858,6618,3808,6317
20.857,4700,6819,4024,6373
20.887,4556,6708,3834,6319
20.918,4725,6780,3803,6259
20.948,4704,6883,3946,6341
21.008,4538,6788,3859,6367
21.037,4654,6740,3625,6298
21.068,4857,6743,3849,6330
21.128,4755,6882,3868,6342
21.128,4617,6643,3852,6407
21.158,4655,6706,3645,6315
21.222,4847,6500,3800,6342
21.247,4700,6496,4039,6377
21.278,4609,6600,3814,6329
21.307,4745,6632,3787,6270
21.338,4700,6880,3992,6342
21.397,4528,6764,3846,6313
21.398,4641,6763,3626,6276
21.428,4770,6863,3852,6336
21.487,4644,6639,3859,6409
21.518,4667,6640,3693,6322
21.548,4863,6710,3830,6333
21.578,4703,6620,4001,6373
21.607,4588,6485,3818,6349
21.667,4719,6679,3820,6250
21.668,4702,6588,3965,6332
21.737,4512,6594,3854,6365
21.757,4676,6506,3650,6308
21.787,4805,6628,3820,6311
21.817,4652,6583,3851,6410
21.847,4685,6522,3707,6342
21.877,4844,6634,3784,6327
21.907,4703,6603,4042,6377
21.937,4552,6538,3807,6336
21.997,4725,6654,3815,6265
22.028,4703,6777,3910,6347
22.057,4550,6671,3850,6378
22.087,4695,6647,3616,6313
22.118,4845,6560,3832,6332
22.148,4669,6615,3863,6416
22.177,4643,6531,3719,6331
22.237,4816,6709,3821,6318
22.267,4699,6577,4045,6363
22.297,4551,6581,3845,6344
22.327,4733,6362,3798,6260
22.358,4715,6677,3919,6340
22.387,4563,6280,3851,6391
22.449,4692,6622,3607,6309
22.477,4838,6686,3815,6334
22.507,4674,6613,3925,6418
22.537,4678,6559,3787,6354
