16.10,-0.3632,0.1013
16.12,-0.3791,0.1013
16.14,-0.3936,0.1013
16.16,-0.4065,0.1013
16.18,-0.4178,0.1013
16.20,-0.4275,0.1013
16.22,-0.4355,0.1013
16.24,-0.4417,0.1013
16.26,-0.4462,0.1013
16.28,-0.4490,0.1013
16.30,-0.4499,0.1013
16.32,-0.4492,0.1013
16.34,-0.4466,0.1013
16.36,-0.4422,0.1013
16.38,-0.4362,0.1013
16.40,-0.4284,0.1013
16.42,-0.4189,0.1013
16.44,-0.4077,0.1013
16.46,-0.3950,0.1013
16.48,-0.3806,0.1013
16.50,-0.3648,0.1013
16.52,-0.3476,0.1013
16.54,-0.3289,0.1013
16.56,-0.3090,0.1013
16.58,-0.2878,0.1013
16.60,-0.2655,0.1013
16.62,-0.2422,0.1013
16.64,-0.2179,0.1013
16.66,-0.1928,0.1013
16.68,-0.1668,0.1013
16.70,-0.1403,0.1013
16.72,-0.1131,0.1013
16.74,-0.0856,0.1013
16.76,-0.0576,0.1013
16.78,-0.0295,0.1013
16.80,-0.0012,0.1013
16.82,0.0270,0.1013
16.84,0.0552,0.1013
16.86,0.0831,0.1013
16.88,0.1107,0.1013
16.90,0.1379,0.1013
16.92,0.1645,0.1013
16.94,0.1905,0.1013
16.96,0.2157,0.1013
16.98,0.2401,0.1013
17.00,0.2635,0.1013
17.02,0.2859,0.1013
17.04,0.3072,0.1013
17.06,0.3272,0.1013
17.08,0.3460,0.1013
17.10,0.3633,0.1013
17.12,0.3793,0.1013
17.14,0.3938,0.1013
17.16,0.4067,0.1013
17.18,0.4180,0.1013
17.20,0.4276,0.1013
17.22,0.4356,0.1013
17.24,0.4418,0.1013
17.26,0.4463,0.1013
17.28,0.4490,0.1013
17.30,0.4500,0.1013
17.32,0.4492,0.1013
17.34,0.4466,0.1013
17.36,0.4422,0.1013
17.38,0.4361,0.1013
17.40,0.4283,0.1013
17.42,0.4188,0.1013
17.44,0.4076,0.1013
17.46,0.3949,0.1013
17.48,0.3805,0.1013
17.50,0.3647,0.1013
17.52,0.3474,0.1012
17.54,0.3288,0.1012
17.56,0.3088,0.1012
17.58,0.2876,0.1012
17.60,0.2653,0.1012
17.62,0.2420,0.1012
17.64,0.2177,0.1012
17.66,0.1925,0.1012
17.68,0.1666,0.1012
17.70,0.1400,0.1012
17.72,0.1129,0.1012
17.74,0.0853,0.1012
17.76,0.0574,0.1012
17.78,0.0292,0.1012
17.80,0.0010,0.1012
17.82,-0.0273,0.1012
17.84,-0.0555,0.1012
17.86,-0.0834,0.1012
17.88,-0.1110,0.1012
17.90,-0.1382,0.1012
17.92,-0.1648,0.1012
17.94,-0.1908,0.1012
17.96,-0.2160,0.1012
17.98,-0.2404,0.1012
18.00,-0.2638,0.1012
18.02,-0.2862,0.1012
18.04,-0.3075,0.1012
18.06,-0.3275,0.1012
18.08,-0.3463,0.1012
18.10,-0.3637,0.1013
18.12,-0.3796,0.1013
18.14,-0.3941,0.1013
18.16,-0.4070,0.1013
18.18,-0.4183,0.1013
18.20,-0.4279,0.1013
18.22,-0.4359,0.1013
18.24,-0.4421,0.1013
18.26,-0.4466,0.1013
18.28,-0.4493,0.1013
18.30,-0.4503,0.1013
18.32,-0.4495,0.1013
18.34,-0.4469,0.1013
18.36,-0.4425,0.1013
18.38,-0.4364,0.1013
18.40,-0.4286,0.1013
18.42,-0.4191,0.1013
18.44,-0.4079,0.1013
18.46,-0.3951,0.1013
18.48,-0.3808,0.1013
18.50,-0.3650,0.1013
18.52,-0.3477,0.1013
18.54,-0.3290,0.1013
18.56,-0.3091,0.1013
18.58,-0.2879,0.1013
18.60,-0.2656,0.1013
18.62,-0.2423,0.1013
18.64,-0.2180,0.1013
18.66,-0.1928,0.1013
18.68,-0.1669,0.1013
18.70,-0.1403,0.1013
18.72,-0.1131,0.1013
18.74,-0.0855,0.1013
18.76,-0.0576,0.1013
18.78,-0.0295,0.1013
18.80,-0.0012,0.1013
18.82,0.0271,0.1013
18.84,0.0552,0.1013
18.86,0.0832,0.1013
18.88,0.1108,0.1013
18.90,0.1380,0.1013
18.92,0.1646,0.1013
18.94,0.1906,0.1013
18.96,0.2158,0.1013
18.98,0.2402,0.1013
19.00,0.2637,0.1013
19.02,0.2861,0.1013
19.04,0.3073,0.1013
19.06,0.3274,0.1013
19.08,0.3461,0.1013
19.10,0.3635,0.1013
19.12,0.3795,0.1013
19.14,0.3940,0.1013
19.16,0.4069,0.1013
19.18,0.4182,0.1013
